Date,Description,Check Number,Amount,Balance,Category,all
02/14/2023,WWWHOLLYWOODFEEDCOM 901-4522474 TN 02/13/23 Card 0432 Visa Check,,-$64.53,"$7,387.19",Online Shopping,"02/14/2023,WWWHOLLYWOODFEEDCOM 901-4522474 TN 02/13/23 Card 0432 Visa Check,nan,-$64.53,$7,387.19,Online Shopping"
02/14/2023,UNITED COOP COLUMBIA COLUMBIA TN 02/13/23 Card 0432 Visa Check,,-$23.91,"$7,451.72",Groceries,"02/14/2023,UNITED COOP COLUMBIA COLUMBIA TN 02/13/23 Card 0432 Visa Check,nan,-$23.91,$7,451.72,Groceries"
02/13/2023,BIG LOTS STORES - #0292 1301 S JAMES CAMPBELL B COLUMBIA TN Card 0432,,-$221.01,"$7,475.63",Shopping,"02/13/2023,BIG LOTS STORES - #0292 1301 S JAMES CAMPBELL B COLUMBIA TN Card 0432,nan,-$221.01,$7,475.63,Shopping"
02/13/2023,PETSENSE #7068 2130 BROOKMEADE DRIVE S COLUMBIA TN Card 0432,,-$72.39,"$7,696.64",Pet Supplies,"02/13/2023,PETSENSE #7068 2130 BROOKMEADE DRIVE S COLUMBIA TN Card 0432,nan,-$72.39,$7,696.64,Pet Supplies"
02/13/2023,BELK #315 2101 BROOKMEADE DRIVE COLUMBIA TN Card 0432,,-$42.59,"$7,769.03",Retail Shopping,"02/13/2023,BELK #315 2101 BROOKMEADE DRIVE COLUMBIA TN Card 0432,nan,-$42.59,$7,769.03,Retail Shopping"
02/13/2023,"NNT HARBOR FREIGHT 000576 119 NASHVILLE HWY, STE COLUMBIA TN Card 0432",,-$76.75,"$7,811.62",Retail Shopping,"02/13/2023,NNT HARBOR FREIGHT 000576 119 NASHVILLE HWY, STE COLUMBIA TN Card 0432,nan,-$76.75,$7,811.62,Retail Shopping"
02/13/2023,#74XGC0EX5AQA  AMAZON.COM SEATTLE WA Card 5386,,-$160.22,"$7,888.37",Shopping/Retail,"02/13/2023,#74XGC0EX5AQA  AMAZON.COM SEATTLE WA Card 5386,nan,-$160.22,$7,888.37,Shopping/Retail"
02/13/2023,MLEC  : ELEC BILL   : 0620292655  CO: MLEC,,-$297.31,"$8,048.59",Utility Bills,"02/13/2023,MLEC  : ELEC BILL   : 0620292655  CO: MLEC,nan,-$297.31,$8,048.59,Utility Bills"
02/13/2023,MLEC  : ELEC BILL   : 0620292655  CO: MLEC,,-$111.01,"$8,345.90",Utility Bills,"02/13/2023,MLEC  : ELEC BILL   : 0620292655  CO: MLEC,nan,-$111.01,$8,345.90,Utility Bills"
02/13/2023,PAYPAL  : INST XFER   : PAYPALSI77,,-$9.99,"$8,456.91",Transfer,"02/13/2023,PAYPAL  : INST XFER   : PAYPALSI77,nan,-$9.99,$8,456.91,Transfer"
02/12/2023,#K8FV16OTF2DX  AMAZON.COM SEATTLE WA Card 5386,,-$73.28,"$8,466.90",Shopping,"02/12/2023,#K8FV16OTF2DX  AMAZON.COM SEATTLE WA Card 5386,nan,-$73.28,$8,466.90,Shopping"
02/12/2023,PLAYSTATION NETWORK FOSTER CITY CA Card 0432,,-$32.45,"$8,540.18",Entertainment,"02/12/2023,PLAYSTATION NETWORK FOSTER CITY CA Card 0432,nan,-$32.45,$8,540.18,Entertainment"
02/11/2023,KICKSTARTER.COM HTTPSWWW.KICK NY 02/11/23 Card 5386 Visa Check,,-$100.00,"$8,572.63",Online Shopping,"02/11/2023,KICKSTARTER.COM HTTPSWWW.KICK NY 02/11/23 Card 5386 Visa Check,nan,-$100.00,$8,572.63,Online Shopping"
02/11/2023,APPLE.COM/BILL 866-712-7753 CA 02/11/23 Card 0432 Visa Check,,-$0.76,"$8,672.63",Shopping,"02/11/2023,APPLE.COM/BILL 866-712-7753 CA 02/11/23 Card 0432 Visa Check,nan,-$0.76,$8,672.63,Shopping"
02/11/2023,412 CITGO MARKET HOHENWALD TN Card 0432,,-$12.28,"$8,673.39",Gas/Fuel,"02/11/2023,412 CITGO MARKET HOHENWALD TN Card 0432,nan,-$12.28,$8,673.39,Gas/Fuel"
02/11/2023,STARLINK INTERNET 999-9999999 CA 02/09/23 Card 5386 Visa Check,,-$135.00,"$8,685.67",Internet/Cable/Phone Services,"02/11/2023,STARLINK INTERNET 999-9999999 CA 02/09/23 Card 5386 Visa Check,nan,-$135.00,$8,685.67,Internet/Cable/Phone Services"
02/10/2023,PY *AllAboutOutdoorStor 719-4886629 CO 02/10/23 Card 5386 Visa Check,,-$70.00,"$8,820.67",Shopping,"02/10/2023,PY *AllAboutOutdoorStor 719-4886629 CO 02/10/23 Card 5386 Visa Check,nan,-$70.00,$8,820.67,Shopping"
02/10/2023,Trashbilling.com CC 802-5603595 VT 02/10/23 Card 0432 Visa Check,,-$18.00,"$8,890.67",Utilities,"02/10/2023,Trashbilling.com CC 802-5603595 VT 02/10/23 Card 0432 Visa Check,nan,-$18.00,$8,890.67,Utilities"
02/10/2023,Transfer To Share 12,,"-$1,000.00","$8,908.67",Transfer,"02/10/2023,Transfer To Share 12,nan,-$1,000.00,$8,908.67,Transfer"
02/10/2023,MAKING PRETTY SPACES HTTPSMAKINGPR WI Card 0432,,-$39.00,"$9,908.67",Shopping/Retail,"02/10/2023,MAKING PRETTY SPACES HTTPSMAKINGPR WI Card 0432,nan,-$39.00,$9,908.67,Shopping/Retail"
02/10/2023,KOHL'S  : KOHLS CRDT   : 9044030470,,-$29.00,"$9,947.67",Shopping,"02/10/2023,KOHL'S  : KOHLS CRDT   : 9044030470,nan,-$29.00,$9,947.67,Shopping"
02/10/2023,BURGER KING #27301 HOHENWALD TN 02/08/23 Card 0432 Visa Check,,-$9.42,"$4,663.97",Food/Restaurants,"02/10/2023,BURGER KING #27301 HOHENWALD TN 02/08/23 Card 0432 Visa Check,nan,-$9.42,$4,663.97,Food/Restaurants"
02/09/2023,412 BUILDING SUPPLY HOHENWALD TN 02/09/23 Card 0432 Visa Check,,-$0.76,"$4,673.39",Building Supplies,"02/09/2023,412 BUILDING SUPPLY HOHENWALD TN 02/09/23 Card 0432 Visa Check,nan,-$0.76,$4,673.39,Building Supplies"
02/09/2023,PAYPAL  : INST XFER   : PAYPALSI77,,-$30.00,"$4,674.15",Payment Services,"02/09/2023,PAYPAL  : INST XFER   : PAYPALSI77,nan,-$30.00,$4,674.15,Payment Services"
02/09/2023,H&R HARDWARE AND LUMBER HOHENWALD TN 02/08/23 Card 0432 Visa Check,,-$22.41,"$3,704.15",Home Improvement,"02/09/2023,H&R HARDWARE AND LUMBER HOHENWALD TN 02/08/23 Card 0432 Visa Check,nan,-$22.41,$3,704.15,Home Improvement"
02/08/2023,412 BUILDING SUPPLY HOHENWALD TN 02/07/23 Card 0432 Visa Check,,-$9.70,"$3,726.56",Building Supplies,"02/08/2023,412 BUILDING SUPPLY HOHENWALD TN 02/07/23 Card 0432 Visa Check,nan,-$9.70,$3,726.56,Building Supplies"
02/08/2023,412 BUILDING SUPPLY HOHENWALD TN 02/07/23 Card 0432 Visa Check,,-$8.30,"$3,736.26",Building Supplies,"02/08/2023,412 BUILDING SUPPLY HOHENWALD TN 02/07/23 Card 0432 Visa Check,nan,-$8.30,$3,736.26,Building Supplies"
02/08/2023,DARRIN'S C MART HOHENWALD TN Card 0432,,-$36.40,"$3,744.56",Groceries,"02/08/2023,DARRIN'S C MART HOHENWALD TN Card 0432,nan,-$36.40,$3,744.56,Groceries"
02/08/2023,#74BEDI2W6APZ  AMAZON.COM SEATTLE WA Card 5386,,-$49.55,"$3,780.96",Shopping/Retail,"02/08/2023,#74BEDI2W6APZ  AMAZON.COM SEATTLE WA Card 5386,nan,-$49.55,$3,780.96,Shopping/Retail"
02/08/2023,PAYPAL  : INST XFER   : PAYPALSI77,,-$25.00,"$3,830.51",Payment Services,"02/08/2023,PAYPAL  : INST XFER   : PAYPALSI77,nan,-$25.00,$3,830.51,Payment Services"
02/08/2023,DUNCAN HARDWARE & BUILD LINDEN TN 02/07/23 Card 0432 Visa Check,,-$127.45,"$3,855.51",Home Improvement,"02/08/2023,DUNCAN HARDWARE & BUILD LINDEN TN 02/07/23 Card 0432 Visa Check,nan,-$127.45,$3,855.51,Home Improvement"
02/08/2023,SONIC DRIVE IN #4732 931-589-6390 TN 02/07/23 Card 0432 Visa Check,,-$5.97,"$3,982.96",Fast Food/Restaurant,"02/08/2023,SONIC DRIVE IN #4732 931-589-6390 TN 02/07/23 Card 0432 Visa Check,nan,-$5.97,$3,982.96,Fast Food/Restaurant"
02/08/2023,AMZN Mktp US*H95QR4I20 Amzn.com/bill WA 02/07/23 Card 5386 Visa Check,,-$11.07,"$3,988.93",Online Shopping,"02/08/2023,AMZN Mktp US*H95QR4I20 Amzn.com/bill WA 02/07/23 Card 5386 Visa Check,nan,-$11.07,$3,988.93,Online Shopping"
02/07/2023,#1RZKMOOG1RIC  AMAZON.COM SEATTLE WA Card 5386,,-$65.15,$0.00,Shopping/Retail,"02/07/2023,#1RZKMOOG1RIC  AMAZON.COM SEATTLE WA Card 5386,nan,-$65.15,$0.00,Shopping/Retail"
02/07/2023,VENMO* Visa Direct NY 02/07/23 Card 5386 Visa Check,,-$500.00,$0.00,Financial Transaction,"02/07/2023,VENMO* Visa Direct NY 02/07/23 Card 5386 Visa Check,nan,-$500.00,$0.00,Financial Transaction"
02/07/2023,412 CITGO MARKET HOHENWALD TN Card 0432,,-$14.08,$0.00,Gas/Fuel,"02/07/2023,412 CITGO MARKET HOHENWALD TN Card 0432,nan,-$14.08,$0.00,Gas/Fuel"
02/07/2023,STARBUCKS STORE 52126 COLUMBIA TN 02/06/23 Card 0432 Visa Check,,-$12.32,$0.00,Food/Beverage,"02/07/2023,STARBUCKS STORE 52126 COLUMBIA TN 02/06/23 Card 0432 Visa Check,nan,-$12.32,$0.00,Food/Beverage"
02/07/2023,BLACK HILLS ENRG  : UTIL BILL   : 1262840847,,-$261.67,$12.32,Utility Bill,"02/07/2023,BLACK HILLS ENRG  : UTIL BILL   : 1262840847,nan,-$261.67,$12.32,Utility Bill"
02/07/2023,Transfer From Share 00 ,,$261.67,$273.99,Transfer,"02/07/2023,Transfer From Share 00 ,nan,$261.67,$273.99,Transfer"
02/07/2023,NATIONALMILLDOGR  : WEBPAYMENT   : 3383693141,,-$25.00,$12.32,Web Payment,"02/07/2023,NATIONALMILLDOGR  : WEBPAYMENT   : 3383693141,nan,-$25.00,$12.32,Web Payment"
02/07/2023,Transfer From Share 00 ,,$37.32,$37.32,Transfer,"02/07/2023,Transfer From Share 00 ,nan,$37.32,$37.32,Transfer"
02/07/2023,SONIC DRIVE IN #2197 931-796-5936 TN 02/06/23 Card 0432 Visa Check,,-$13.42,$0.00,Restaurant/Dining,"02/07/2023,SONIC DRIVE IN #2197 931-796-5936 TN 02/06/23 Card 0432 Visa Check,nan,-$13.42,$0.00,Restaurant/Dining"
02/07/2023,Transfer From Share 00 ,,$13.42,$13.42,Transfer,"02/07/2023,Transfer From Share 00 ,nan,$13.42,$13.42,Transfer"
02/06/2023,ROCKHOUSE COFFEE AND EV HOHENWALD TN 02/04/23 Card 0432 Visa Check,,-$8.07,$0.00,Food & Dining,"02/06/2023,ROCKHOUSE COFFEE AND EV HOHENWALD TN 02/04/23 Card 0432 Visa Check,nan,-$8.07,$0.00,Food & Dining"
02/06/2023,Transfer From Share 00 ,,$8.07,$8.07,Transfer,"02/06/2023,Transfer From Share 00 ,nan,$8.07,$8.07,Transfer"
02/06/2023,LOWES #00907* 866-483-7521 NC 02/06/23 Card 0432 Visa Check,,-$284.23,$0.00,Home Improvement,"02/06/2023,LOWES #00907* 866-483-7521 NC 02/06/23 Card 0432 Visa Check,nan,-$284.23,$0.00,Home Improvement"
02/06/2023,Transfer From Share 00 ,,$284.23,$284.23,Transfer,"02/06/2023,Transfer From Share 00 ,nan,$284.23,$284.23,Transfer"
02/06/2023,PETSENSE #7068 2130 BROOKMEADE DRIVE S COLUMBIA TN Card 0432,,-$68.03,$0.00,Pet Supplies,"02/06/2023,PETSENSE #7068 2130 BROOKMEADE DRIVE S COLUMBIA TN Card 0432,nan,-$68.03,$0.00,Pet Supplies"
02/06/2023,Transfer From Share 00 ,,$68.03,$68.03,Transfer,"02/06/2023,Transfer From Share 00 ,nan,$68.03,$68.03,Transfer"
02/06/2023,LOWE'S #729 COLUMBIA TN Card 0432,,-$298.00,$0.00,Home Improvement,"02/06/2023,LOWE'S #729 COLUMBIA TN Card 0432,nan,-$298.00,$0.00,Home Improvement"
02/06/2023,Transfer From Share 00 ,,$298.00,$298.00,Transfer,"02/06/2023,Transfer From Share 00 ,nan,$298.00,$298.00,Transfer"
02/06/2023,DARRIN'S C MART HOHENWALD TN Card 0432,,-$52.18,$0.00,Groceries,"02/06/2023,DARRIN'S C MART HOHENWALD TN Card 0432,nan,-$52.18,$0.00,Groceries"
02/06/2023,Transfer From Share 00 ,,$44.11,$52.18,Transfer,"02/06/2023,Transfer From Share 00 ,nan,$44.11,$52.18,Transfer"
02/06/2023,Transfer From Share 00 ,,$25.09,"$4,008.07",Transfer,"02/06/2023,Transfer From Share 00 ,nan,$25.09,$4,008.07,Transfer"
02/06/2023,PAYPAL  : INST XFER   : PAYPALSI77,,-$12.00,"$3,982.98",Payment Services,"02/06/2023,PAYPAL  : INST XFER   : PAYPALSI77,nan,-$12.00,$3,982.98,Payment Services"
02/06/2023,PAYPAL  : INST XFER   : PAYPALSI77,,-$9.99,"$3,994.98",Payment Services,"02/06/2023,PAYPAL  : INST XFER   : PAYPALSI77,nan,-$9.99,$3,994.98,Payment Services"
02/05/2023,412 BUILDING SUPPLY HOHENWALD TN 02/04/23 Card 0432 Visa Check,,-$31.13,"$4,004.97",Building Supplies,"02/05/2023,412 BUILDING SUPPLY HOHENWALD TN 02/04/23 Card 0432 Visa Check,nan,-$31.13,$4,004.97,Building Supplies"
02/05/2023,TST* JUNKYARD DOG STEAK HOHENWALD TN 02/05/23 Card 0432 Visa Check,,-$68.58,"$4,036.10",Food/Restaurant,"02/05/2023,TST* JUNKYARD DOG STEAK HOHENWALD TN 02/05/23 Card 0432 Visa Check,nan,-$68.58,$4,036.10,Food/Restaurant"
02/05/2023,DUNCAN HARDWARE & BUILD LINDEN TN 02/04/23 Card 0432 Visa Check,,-$166.63,"$4,104.68",Home Improvement,"02/05/2023,DUNCAN HARDWARE & BUILD LINDEN TN 02/04/23 Card 0432 Visa Check,nan,-$166.63,$4,104.68,Home Improvement"
02/05/2023,SONIC DRIVE IN #4732 931-589-6390 TN 02/04/23 Card 0432 Visa Check,,-$14.82,"$4,271.31",Food/Dining,"02/05/2023,SONIC DRIVE IN #4732 931-589-6390 TN 02/04/23 Card 0432 Visa Check,nan,-$14.82,$4,271.31,Food/Dining"
02/04/2023,Audible*175CC0IJ3 Amzn.com/bill NJ Card 5386,,-$15.72,"$4,286.13",Entertainment,"02/04/2023,Audible*175CC0IJ3 Amzn.com/bill NJ Card 5386,nan,-$15.72,$4,286.13,Entertainment"
02/04/2023,8667127753 APPLE COM BILL CUPERTINO CA Card 0432,,-$13.16,"$4,301.85",Shopping/Retail,"02/04/2023,8667127753 APPLE COM BILL CUPERTINO CA Card 0432,nan,-$13.16,$4,301.85,Shopping/Retail"
02/03/2023,WALMART.COM 8009666546 BENTONVILLE AR 01/29/23 Card 5386 Visa Check,,-$229.33,"$4,315.01",Shopping,"02/03/2023,WALMART.COM 8009666546 BENTONVILLE AR 01/29/23 Card 5386 Visa Check,nan,-$229.33,$4,315.01,Shopping"
02/03/2023,SATELLITE PHONE STORE 941-702-2862 FL 02/02/23 Card 5386 Visa Check,,-$44.74,"$4,544.34",Telecommunications,"02/03/2023,SATELLITE PHONE STORE 941-702-2862 FL 02/02/23 Card 5386 Visa Check,nan,-$44.74,$4,544.34,Telecommunications"
02/02/2023,SMALL-CAKES CUPCAKERY 719-2660000 CO 02/01/23 Card 5386 Visa Check,,-$36.38,"$4,589.08",Food/Dining,"02/02/2023,SMALL-CAKES CUPCAKERY 719-2660000 CO 02/01/23 Card 5386 Visa Check,nan,-$36.38,$4,589.08,Food/Dining"
02/02/2023,DRAFTKINGS 6179865744 MA 02/02/23 Card 5386 Visa Check,,-$25.00,"$4,625.46",Entertainment,"02/02/2023,DRAFTKINGS 6179865744 MA 02/02/23 Card 5386 Visa Check,nan,-$25.00,$4,625.46,Entertainment"
